function,qualname,url,signature,summary
shortest_path_length,networkx.algorithms.shortest_paths.generic.shortest_path_length,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.shortest_paths.generic.shortest_path_length.html,"shortest_path_length ( G , source = None , target = None , weight = None , method = 'dijkstra' ) [source] # Compute shortest path lengths in the graph. Parameters : G NetworkX graph source node, optional Starting node for path.
If not specified, compute shortest path lengths using all nodes as
source nodes. target node, optional Ending node for path.
If not specified, compute shortest path lengths using all nodes as
target nodes. weight None, string or function, optional (default = None) If None, every edge has weight/distance/cost 1.
If a string, use this edge attribute as the edge weight.
Any edge attribute not present defaults to 1.
If this is a function, the weight of an edge is the value
returned by the function. The function must accept exactly
three positional arguments: the two endpoints of an edge and
the dictionary of edge attributes for that edge.
The function must return a number. method string, optional (default = ‘dijkstra’) The algorithm to use to compute the path length.
Supported options: ‘dijkstra’, ‘bellman-ford’.
Other inputs produce a ValueError.
If weight is None, unweighted graph methods are used, and this
suggestion is ignored. Returns : length: number or iterator If the source and target are both specified, return the length of
the shortest path from the source to the target. If only the source is specified, return a dict keyed by target
to the shortest path length from the source to that target. If only the target is specified, return a dict keyed by source
to the shortest path length from that source to the target. If neither the source nor target are specified, return an iterator
over (source, dictionary) where dictionary is keyed by target to
shortest path length from source to that target. Raises : NodeNotFound If source is not in G . NetworkXNoPath If no path exists between source and target. ValueError If method is not among the supported options. See also all_pairs_shortest_path_length all_pairs_dijkstra_path_length all_pairs_bellman_ford_path_length single_source_shortest_path_length single_source_dijkstra_path_length single_source_bellman_ford_path_length Notes The length of the path is always 1 less than the number of nodes involved
in the path since the length measures the number of edges followed. For digraphs this returns the shortest directed path length. To find path
lengths in the reverse direction use G.reverse(copy=False) first to flip
the edge orientation. Examples >>> G = nx . path_graph ( 5 ) >>> nx . shortest_path_length ( G , source = 0 , target = 4 ) 4 >>> p = nx . shortest_path_length ( G , source = 0 ) # target not specified >>> p [ 4 ] 4 >>> p = nx . shortest_path_length ( G , target = 4 ) # source not specified >>> p [ 0 ] 4 >>> p = dict ( nx . shortest_path_length ( G )) # source,target not specified >>> p [ 0 ][ 4 ] 4 ---- Additional backends implement this function cugraph GPU-accelerated backend. Negative weights are not yet supported. Additional parameters: dtype dtype or None, optional The data type (np.float32, np.float64, or None) to use for the edge weights in the algorithm. If None, then dtype is determined by the edge values.",Compute shortest path lengths in the graph.
topological_sort,networkx.algorithms.dag.topological_sort,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.dag.topological_sort.html,"topological_sort ( G ) [source] # Returns a generator of nodes in topologically sorted order. A topological sort is a nonunique permutation of the nodes of a
directed graph such that an edge from u to v implies that u
appears before v in the topological sort order. This ordering is
valid only if the graph has no directed cycles. Parameters : G NetworkX digraph A directed acyclic graph (DAG) Yields : nodes Yields the nodes in topological sorted order. Raises : NetworkXError Topological sort is defined for directed graphs only. If the graph G is undirected, a NetworkXError is raised. NetworkXUnfeasible If G is not a directed acyclic graph (DAG) no topological sort exists
and a NetworkXUnfeasible exception is raised.  This can also be
raised if G is changed while the returned iterator is being processed RuntimeError If G is changed while the returned iterator is being processed. See also is_directed_acyclic_graph , lexicographical_topological_sort Notes This algorithm is based on a description and proof in
“Introduction to Algorithms: A Creative Approach” [1] . References [ 1 ] Manber, U. (1989). Introduction to Algorithms - A Creative Approach. Addison-Wesley. Examples To get the reverse order of the topological sort: >>> DG = nx . DiGraph ([( 1 , 2 ), ( 2 , 3 )]) >>> list ( reversed ( list ( nx . topological_sort ( DG )))) [3, 2, 1] If your DiGraph naturally has the edges representing tasks/inputs
and nodes representing people/processes that initiate tasks, then
topological_sort is not quite what you need. You will have to change
the tasks to nodes with dependence reflected by edges. The result is
a kind of topological sort of the edges. This can be done
with networkx.line_graph() as follows: >>> list ( nx . topological_sort ( nx . line_graph ( DG ))) [(1, 2), (2, 3)]",Returns a generator of nodes in topologically sorted order.
k_edge_components,networkx.algorithms.connectivity.edge_kcomponents.k_edge_components,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.connectivity.edge_kcomponents.k_edge_components.html,"k_edge_components ( G , k ) [source] # Generates nodes in each maximal k-edge-connected component in G. Parameters : G NetworkX graph k Integer Desired edge connectivity Returns : k_edge_components a generator of k-edge-ccs. Each set of returned nodes will have k-edge-connectivity in the graph G. Raises : NetworkXNotImplemented If the input graph is a multigraph. ValueError: If k is less than 1 See also local_edge_connectivity() k_edge_subgraphs() similar to this function, but the subgraph defined by the nodes must also have k-edge-connectivity. k_components() similar to this function, but uses node-connectivity instead of edge-connectivity Notes Attempts to use the most efficient implementation available based on k.
If k=1, this is simply connected components for directed graphs and
connected components for undirected graphs.
If k=2 on an efficient bridge connected component algorithm from _[1] is
run based on the chain decomposition.
Otherwise, the algorithm from _[2] is used. References [ 1 ] https://en.wikipedia.org/wiki/Bridge_%28graph_theory%29 [ 2 ] Wang, Tianhao, et al. (2015) A simple algorithm for finding all
k-edge-connected components. http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136264 Examples >>> import itertools as it >>> from networkx.utils import pairwise >>> paths = [ ... ( 1 , 2 , 4 , 3 , 1 , 4 ), ... ( 5 , 6 , 7 , 8 , 5 , 7 , 8 , 6 ), ... ] >>> G = nx . Graph () >>> G . add_nodes_from ( it . chain ( * paths )) >>> G . add_edges_from ( it . chain ( * [ pairwise ( path ) for path in paths ])) >>> # note this returns {1, 4} unlike k_edge_subgraphs >>> sorted ( map ( sorted , nx . k_edge_components ( G , k = 3 ))) [[1, 4], [2], [3], [5, 6, 7, 8]]",Generates nodes in each maximal k-edge-connected component in G.
preferential_attachment,networkx.algorithms.link_prediction.preferential_attachment,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.link_prediction.preferential_attachment.html,"preferential_attachment ( G , ebunch = None ) [source] # Compute the preferential attachment score of all node pairs in ebunch. Preferential attachment score of u and v is defined as \[|\Gamma(u)| |\Gamma(v)|\] where \(\Gamma(u)\) denotes the set of neighbors of \(u\) . Parameters : G graph NetworkX undirected graph. ebunch iterable of node pairs, optional (default = None) Preferential attachment score will be computed for each pair of
nodes given in the iterable. The pairs must be given as
2-tuples (u, v) where u and v are nodes in the graph. If ebunch
is None then all nonexistent edges in the graph will be used.
Default value: None. Returns : piter iterator An iterator of 3-tuples in the form (u, v, p) where (u, v) is a
pair of nodes and p is their preferential attachment score. Raises : NetworkXNotImplemented If G is a DiGraph , a Multigraph or a MultiDiGraph . NodeNotFound If ebunch has a node that is not in G . References [ 1 ] D. Liben-Nowell, J. Kleinberg.
The Link Prediction Problem for Social Networks (2004). http://www.cs.cornell.edu/home/kleinber/link-pred.pdf Examples >>> G = nx . complete_graph ( 5 ) >>> preds = nx . preferential_attachment ( G , [( 0 , 1 ), ( 2 , 3 )]) >>> for u , v , p in preds : ... print ( f ""( { u } , { v } ) -> { p } "" ) (0, 1) -> 16 (2, 3) -> 16",Compute the preferential attachment score of all node pairs in ebunch.
jaccard_coefficient,networkx.algorithms.link_prediction.jaccard_coefficient,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.link_prediction.jaccard_coefficient.html,"jaccard_coefficient ( G , ebunch = None ) [source] # Compute the Jaccard coefficient of all node pairs in ebunch. Jaccard coefficient of nodes u and v is defined as \[\frac{|\Gamma(u) \cap \Gamma(v)|}{|\Gamma(u) \cup \Gamma(v)|}\] where \(\Gamma(u)\) denotes the set of neighbors of \(u\) . Parameters : G graph A NetworkX undirected graph. ebunch iterable of node pairs, optional (default = None) Jaccard coefficient will be computed for each pair of nodes
given in the iterable. The pairs must be given as 2-tuples
(u, v) where u and v are nodes in the graph. If ebunch is None
then all nonexistent edges in the graph will be used.
Default value: None. Returns : piter iterator An iterator of 3-tuples in the form (u, v, p) where (u, v) is a
pair of nodes and p is their Jaccard coefficient. Raises : NetworkXNotImplemented If G is a DiGraph , a Multigraph or a MultiDiGraph . NodeNotFound If ebunch has a node that is not in G . References [ 1 ] D. Liben-Nowell, J. Kleinberg.
The Link Prediction Problem for Social Networks (2004). http://www.cs.cornell.edu/home/kleinber/link-pred.pdf Examples >>> G = nx . complete_graph ( 5 ) >>> preds = nx . jaccard_coefficient ( G , [( 0 , 1 ), ( 2 , 3 )]) >>> for u , v , p in preds : ... print ( f ""( { u } , { v } ) -> { p : .8f } "" ) (0, 1) -> 0.60000000 (2, 3) -> 0.60000000 ---- Additional backends implement this function cugraph : GPU-accelerated backend.",Compute the Jaccard coefficient of all node pairs in ebunch.
is_planar,networkx.algorithms.planarity.is_planar,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.planarity.is_planar.html,"is_planar ( G ) [source] # Returns True if and only if G is planar. A graph is planar iff it can be drawn in a plane without
any edge intersections. Parameters : G NetworkX graph Returns : bool Whether the graph is planar. See also check_planarity Check if graph is planar and return a PlanarEmbedding instance if True. Examples >>> G = nx . Graph ([( 0 , 1 ), ( 0 , 2 )]) >>> nx . is_planar ( G ) True >>> nx . is_planar ( nx . complete_graph ( 5 )) False",Returns True if and only if G is planar.
clustering,networkx.algorithms.cluster.clustering,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.cluster.clustering.html,"clustering ( G , nodes = None , weight = None ) [source] # Compute the clustering coefficient for nodes. For unweighted graphs, the clustering of a node \(u\) is the fraction of possible triangles through that node that exist, \[c_u = \frac{2 T(u)}{deg(u)(deg(u)-1)},\] where \(T(u)\) is the number of triangles through node \(u\) and \(deg(u)\) is the degree of \(u\) . For weighted graphs, there are several ways to define clustering [1] .
the one used here is defined
as the geometric average of the subgraph edge weights [2] , \[c_u = \frac{1}{deg(u)(deg(u)-1))}
      \sum_{vw} (\hat{w}_{uv} \hat{w}_{uw} \hat{w}_{vw})^{1/3}.\] The edge weights \(\hat{w}_{uv}\) are normalized by the maximum weight
in the network \(\hat{w}_{uv} = w_{uv}/\max(w)\) . The value of \(c_u\) is assigned to 0 if \(deg(u) < 2\) . Additionally, this weighted definition has been generalized to support negative edge weights [3] . For directed graphs, the clustering is similarly defined as the fraction
of all possible directed triangles or geometric average of the subgraph
edge weights for unweighted and weighted directed graph respectively [4] . \[c_u = \frac{T(u)}{2(deg^{tot}(u)(deg^{tot}(u)-1) - 2deg^{\leftrightarrow}(u))},\] where \(T(u)\) is the number of directed triangles through node \(u\) , \(deg^{tot}(u)\) is the sum of in degree and out degree of \(u\) and \(deg^{\leftrightarrow}(u)\) is the reciprocal degree of \(u\) . Parameters : G graph nodes node, iterable of nodes, or None (default=None) If a singleton node, return the number of triangles for that node.
If an iterable, compute the number of triangles for each of those nodes.
If None (the default) compute the number of triangles for all nodes in G . weight string or None, optional (default=None) The edge attribute that holds the numerical value used as a weight.
If None, then each edge has weight 1. Returns : out float, or dictionary Clustering coefficient at specified nodes Notes Self loops are ignored. References [ 1 ] Generalizations of the clustering coefficient to weighted
complex networks by J. Saramäki, M. Kivelä, J.-P. Onnela,
K. Kaski, and J. Kertész, Physical Review E, 75 027105 (2007). http://jponnela.com/web_documents/a9.pdf [ 2 ] Intensity and coherence of motifs in weighted complex
networks by J. P. Onnela, J. Saramäki, J. Kertész, and K. Kaski,
Physical Review E, 71(6), 065103 (2005). [ 3 ] Generalization of Clustering Coefficients to Signed Correlation Networks
by G. Costantini and M. Perugini, PloS one, 9(2), e88669 (2014). [ 4 ] Clustering in complex directed networks by G. Fagiolo,
Physical Review E, 76(2), 026107 (2007). Examples >>> G = nx . complete_graph ( 5 ) >>> print ( nx . clustering ( G , 0 )) 1.0 >>> print ( nx . clustering ( G )) {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0} ---- Additional backends implement this function cugraph GPU-accelerated backend. Directed graphs and weight parameter are not yet supported. graphblas : OpenMP-enabled sparse linear algebra backend.",Compute the clustering coefficient for nodes.
triangles,networkx.algorithms.cluster.triangles,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.cluster.triangles.html,"triangles ( G , nodes = None ) [source] # Compute the number of triangles. Finds the number of triangles that include a node as one vertex. Parameters : G graph A networkx graph nodes node, iterable of nodes, or None (default=None) If a singleton node, return the number of triangles for that node.
If an iterable, compute the number of triangles for each of those nodes.
If None (the default) compute the number of triangles for all nodes in G . Returns : out dict or int If nodes is a container of nodes, returns number of triangles keyed by node (dict).
If nodes is a specific node, returns number of triangles for the node (int). Notes Self loops are ignored. Examples >>> G = nx . complete_graph ( 5 ) >>> print ( nx . triangles ( G , 0 )) 6 >>> print ( nx . triangles ( G )) {0: 6, 1: 6, 2: 6, 3: 6, 4: 6} >>> print ( list ( nx . triangles ( G , [ 0 , 1 ]) . values ())) [6, 6] ---- Additional backends implement this function cugraph : GPU-accelerated backend. graphblas : OpenMP-enabled sparse linear algebra backend.",Compute the number of triangles.
vf2pp_all_isomorphisms,networkx.algorithms.isomorphism.vf2pp.vf2pp_all_isomorphisms,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.isomorphism.vf2pp.vf2pp_all_isomorphisms.html,"vf2pp_all_isomorphisms ( G1 , G2 , node_label = None , default_label = None ) [source] # Yields all the possible mappings between G1 and G2. Parameters : G1, G2 NetworkX Graph or MultiGraph instances. The two graphs to check for isomorphism. node_label str, optional The name of the node attribute to be used when comparing nodes.
The default is None , meaning node attributes are not considered
in the comparison. Any node that doesn’t have the node_label attribute uses default_label instead. default_label scalar Default value to use when a node doesn’t have an attribute
named node_label . Default is None . Yields : dict Isomorphic mapping between the nodes in G1 and G2 .",Yields all the possible mappings between G1 and G2.
is_arborescence,networkx.algorithms.tree.recognition.is_arborescence,https://networkx.org/documentation/stable/reference/algorithms/generated//networkx.algorithms.tree.recognition.is_arborescence.html,"is_arborescence ( G ) [source] # Returns True if G is an arborescence. An arborescence is a directed tree with maximum in-degree equal to 1. Parameters : G graph The graph to test. Returns : b bool A boolean that is True if G is an arborescence. See also is_tree Notes In another convention, an arborescence is known as a tree . Examples >>> G = nx . DiGraph ([( 0 , 1 ), ( 0 , 2 ), ( 2 , 3 ), ( 3 , 4 )]) >>> nx . is_arborescence ( G ) True >>> G . remove_edge ( 0 , 1 ) >>> G . add_edge ( 1 , 2 ) # maximum in-degree is 2 >>> nx . is_arborescence ( G ) False ---- Additional backends implement this function cugraph : GPU-accelerated backend.",Returns True if G is an arborescence.
